615	560	1
1481	171	1
1275	450	0
324	1501	1
1751	1234	0
1420	2922	0
513	1183	0
395	483	1
1516	1597	0
1008	1364	0
1617	3550	1
688	126	1
241	96	1
962	3449	0
562	107	1
597	209	1
1199	1605	1
555	2012	1
1854	781	0
978	1088	1
1687	3644	1
372	36	1
1478	34	1
1155	3306	0
260	501	0
1248	46	1
65	515	1
1031	2741	0
1547	210	1
182	3352	0
850	2173	0
1125	2999	1
1302	269	1
1520	141	1
536	1831	0
1584	3505	0
116	2322	0
1576	618	0
639	1695	0
1840	1580	1
1845	539	1
1440	3357	1
636	487	0
1773	1541	0
1084	80	1
611	3732	0
236	482	1
79	2393	0
847	425	0
1757	3501	0
1253	509	0
676	653	1
1218	53	1
1722	2405	0
1602	1169	0
691	2419	0
349	22	1
662	1652	0
1710	863	1
1475	118	1
1041	124	1
511	2344	0
911	2181	0
1584	286	0
786	119	1
177	1063	1
1672	3245	0
102	801	0
1327	247	1
617	295	1
1538	196	1
1609	3542	1
206	1181	1
1657	3019	0
691	151	0
1192	2043	0
734	2356	1
891	2651	1
1386	1042	1
144	2138	0
471	1906	0
1707	962	0
175	2988	0
675	2461	0
43	1929	0
939	2675	0
441	2905	0
780	909	1
1384	180	0
755	1617	1
245	1297	1
1572	3768	0
421	1740	1
1674	418	0
842	2447	1
1413	225	0
888	1662	1
485	46	1
1010	96	1
597	2114	1
585	1327	0
467	237	1
990	3389	0
1440	3359	1
1033	380	1
197	1069	0
218	1212	1
534	1496	1
763	1523	1
1778	3752	0
277	43	1
1526	2687	0
1220	3034	0
200	2967	0
1846	47	1
421	1329	0
1239	135	0
1053	684	1
159	2926	0
1398	3322	1
1403	543	0
374	1261	1
1018	134	1
1761	35	1
479	878	1
1189	3080	1
1592	77	1
1231	36	1
1508	3448	1
1554	302	1
692	708	1
1812	105	1
1343	3079	1
1638	75	1
1705	197	0
373	972	1
520	77	1
1260	141	1
1136	407	0
392	445	1
592	389	0
1721	3683	0
966	875	0
831	3117	0
1357	1420	0
690	776	1
386	1635	1
358	45	1
1867	2777	0
681	2487	0
1367	3217	0
1743	919	0
70	555	1
67	534	1
1836	1555	0
975	1324	1
647	1655	0
1301	32	1
1287	2134	0
542	1808	1
807	61	1
746	128	1
1604	2154	0
495	2186	0
590	1275	0
1425	1243	0
411	3717	0
951	1785	0
808	1746	0
989	2995	0
1324	630	0
821	3598	0
1246	2457	0
2	529	0
123	237	1
978	1532	0
614	1824	0
1256	698	0
829	3227	0
1746	2166	0
291	3663	0
935	3304	0
1287	230	0
1422	3341	1
1845	871	0
721	3779	0
160	1418	0
831	80	1
481	821	1
508	1078	0
143	171	1
1753	806	1
1403	79	1
742	1155	0
162	36	1
304	1051	0
418	276	1
1429	969	0
103	12	1
302	1949	0
568	1296	0
1100	2064	1
1498	80	1
984	462	1
1795	3595	0
120	2586	0
1400	388	1
1079	1730	1
1043	2836	0
836	1958	0
598	1224	0
1631	528	1
332	1042	0
1761	105	1
1835	2893	0
710	80	1
617	3048	0
973	941	0
1732	1326	1
395	1596	0
425	771	1
109	781	1
1160	1494	1
886	102	1
314	260	0
476	860	1
931	46	1
588	24	1
1223	118	1
902	2669	1
422	911	0
1866	3773	0
1619	1041	0
1484	2876	0
167	3765	0
481	1081	1
1180	2988	1
1761	59	0
716	2327	1
1630	2475	0
1840	3809	1
917	1587	0
146	930	1
759	411	0
1575	2370	0
1706	391	1
1401	102	1
1847	2859	0
966	261	1
1680	1005	0
1596	1167	0
1625	2394	0
1115	507	0
1825	2143	0
867	127	1
44	2735	0
1700	3651	1
341	3509	0
1177	3766	0
1267	534	0
807	2705	0
1666	752	1
969	1144	0
253	445	1
720	826	0
264	26	0
1789	3450	0
511	154	1
1423	3269	0
678	2961	0
436	2090	0
754	118	1
146	2115	0
1231	37	0
674	441	1
502	233	0
1789	497	0
954	946	1
204	941	0
1569	3502	1
875	1408	0
1270	3195	1
993	2232	0
1309	1962	0
893	1733	0
1451	3382	1
1116	3488	0
1607	3368	0
1032	295	1
1770	865	0
57	449	1
100	16	0
315	2127	0
485	118	1
1483	3521	0
1085	141	1
1173	2154	0
498	841	1
872	3377	0
923	37	0
1344	218	1
1378	1803	0
1615	365	0
710	73	1
1820	137	1
717	378	1
702	498	1
246	385	1
1306	1582	0
713	2317	1
226	131	1
1197	297	1
956	2542	0
1261	1730	1
749	919	1
374	102	1
1147	2744	0
1799	2445	0
110	507	1
850	1722	1
1088	1823	0
393	1670	1
502	1397	1
1113	230	1
1108	2821	0
787	224	1
1263	478	1
1106	2965	1
721	1242	0
1503	133	1
1745	3698	1
1851	863	1
1499	1834	0
871	1625	1
1469	290	0
468	254	1
1439	2554	0
428	1416	1
202	2677	0
1444	541	0
438	98	1
593	3551	0
124	373	1
791	1000	0
1307	184	1
47	387	1
139	1480	0
420	887	1
829	332	1
1234	2356	0
769	314	1
521	672	1
64	135	1
574	1659	0
110	419	1
1219	2146	0
230	772	1
1414	1158	0
695	3709	0
719	1659	0
1060	3153	0
1611	3460	0
1044	2241	0
1245	3518	0
1346	3290	1
922	53	1
1415	2985	0
1833	3800	1
581	2459	0
884	3354	0
891	2049	0
653	3245	0
1101	1510	0
9	79	1
308	1466	1
429	3806	0
848	80	1
516	2600	0
1387	981	0
213	1530	0
217	1674	0
1509	904	0
351	3483	0
271	1369	1
1577	1856	0
1780	197	0
1539	1426	0
921	2652	0
756	2735	0
1011	3736	0
1816	3780	1
818	523	1
1854	1056	0
1450	159	1
1310	286	1
1602	3348	0
1315	159	1
754	2855	0
1631	3816	0
738	524	0
251	1194	0
829	126	1
46	881	0
510	42	1
57	1978	0
441	1793	1
1403	367	0
318	744	0
534	474	1
546	1186	1
670	2187	1
620	2163	1
1746	267	1
1451	2364	0
606	115	1
755	3359	0
993	3010	0
631	72	1
871	2620	1
857	212	1
1734	72	1
1512	1158	0
1693	70	1
604	475	1
847	156	1
1419	2968	0
349	232	1
1516	1317	0
1778	732	1
307	77	1
730	131	1
840	2994	0
739	1884	0
504	1455	0
686	3263	0
375	87	1
1566	72	1
1730	1438	0
401	3386	0
548	1655	0
833	435	0
1502	2028	1
1782	472	1
10	2692	0
594	2111	1
1100	975	0
817	3374	0
1186	2150	0
963	2593	0
637	127	1
1808	13	0
1347	1618	0
1697	1389	0
617	3045	0
560	812	0
1708	782	1
1454	1763	0
1420	356	1
123	72	1
1365	206	1
1137	2245	0
1277	2765	0
1021	2921	0
957	1059	0
1460	2408	0
1485	3427	1
1171	105	1
266	1138	0
708	376	1
399	756	1
1245	111	1
991	832	1
45	66	1
1141	989	1
1214	1088	1
1189	3372	0
97	258	0
1160	1181	1
916	851	0
594	2104	1
273	1378	1
1601	785	0
753	1371	1
669	41	1
1641	3230	0
672	812	0
1169	2207	0
1177	1393	0
1851	888	0
529	3356	0
740	3749	0
1328	1854	0
333	3715	0
1605	87	1
179	20	1
1336	1288	1
1300	81	1
300	1456	1
1739	3662	0
1665	363	1
1387	334	1
1317	771	1
378	523	1
1719	24	1
684	1916	0
1672	3439	0
1827	2627	0
324	2800	0
827	705	0
386	1640	1
608	2142	1
1825	105	1
1635	2434	1
1690	2680	0
1270	109	1
1040	987	1
413	1612	0
1033	133	1
1338	221	0
1433	277	1
910	3104	0
1253	184	1
1413	74	1
1126	465	0
654	578	0
1657	107	1
515	670	0
63	405	0
1792	2159	0
441	1957	0
1223	389	1
1420	2169	0
1566	1324	1
533	46	1
192	187	1
872	1556	1
55	79	1
1570	1987	0
1229	843	0
137	127	1
960	80	1
377	3193	0
1207	1985	0
1270	1664	1
171	1036	1
705	765	1
311	3591	0
1077	2281	0
1578	102	1
922	154	1
394	2001	0
968	2358	1
1274	2719	1
1354	110	1
